Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1603353584,192.168.1.151,5353,224.0.0.251,5353,17,167,0,1,0,1603353584864;,167;,1;
1603353584,192.168.1.151,5353,192.168.1.191,5353,17,0,445,0,1,1603353584928;,445;,2;
1603353584,192.168.1.191,64388,40.78.253.3,443,6,90,52,1,1,1603353584942;1603353584988;,90;52;,1;2;
1603353585,192.168.1.21,5353,224.0.0.251,5353,17,1735,0,2,0,1603353585073;1603353585076;,1465;270;,1;1;
1603353585,192.168.1.49,5353,224.0.0.251,5353,17,252,0,1,0,1603353585171;,252;,1;
1603353586,192.168.1.191,64974,140.82.112.25,443,6,134,182,2,3,1603353586508;1603353586508;1603353586508;1603353586593;1603353586593;,78;52;82;52;52;,2;1;1;2;2;
1603353587,192.168.1.191,64965,17.248.129.77,443,6,256,232,4,4,1603353587250;1603353587252;1603353587276;1603353587276;1603353587280;1603353587280;1603353587280;1603353587298;,76;52;64;76;52;52;52;64;,1;1;2;1;2;2;1;2;
1603353587,192.168.1.1,53,192.168.1.191,57362,17,268,149,2,2,1603353587455;1603353587469;1603353587469;1603353587475;,68;187;81;81;,2;1;2;1;
1603353587,192.168.1.1,53,192.168.1.191,57432,17,454,149,2,2,1603353587455;1603353587469;1603353587473;1603353587475;,68;81;245;209;,2;2;1;1;
1603353587,192.168.1.191,65011,17.248.129.240,443,6,2771,12738,16,15,1603353587479;1603353587502;1603353587502;1603353587504;1603353587528;1603353587528;1603353587528;1603353587528;1603353587529;1603353587529;1603353587529;1603353587529;1603353587531;1603353587532;1603353587537;1603353587538;1603353587538;1603353587560;1603353587560;1603353587560;1603353587560;1603353587560;1603353587562;1603353587562;1603353587562;1603353587601;1603353587601;1603353587641;1603353587641;1603353587641;1603353587641;,64;60;52;569;52;1500;1500;52;1500;1500;52;52;384;52;132;618;151;52;355;355;52;52;1500;1214;52;618;151;52;1500;1214;52;,1;2;1;1;2;2;2;1;2;2;1;1;2;1;1;1;1;2;2;2;1;1;2;2;1;1;1;2;2;2;1;
1603353588,192.168.1.49,5353,224.0.0.251,5353,17,252,0,1,0,1603353588244;,252;,1;
1603353588,192.168.1.21,5353,224.0.0.251,5353,17,1153,0,1,0,1603353588449;,1153;,1;
1603353588,192.168.1.191,64388,40.78.253.3,443,6,52,86,1,1,1603353588489;1603353588490;,86;52;,2;1;
1603353588,192.168.1.191,54295,239.255.255.250,1900,17,203,0,1,0,1603353588813;,203;,1;
1603353588,192.168.1.157,57621,192.168.1.255,57621,17,72,0,1,0,1603353588857;,72;,1;
1603353589,192.168.1.191,54295,239.255.255.250,1900,17,203,0,1,0,1603353589813;,203;,1;
1603353590,192.168.1.191,64379,54.149.94.178,443,6,324,1287,4,3,1603353590499;1603353590499;1603353590713;1603353590747;1603353590757;1603353590757;1603353590841;,1126;52;109;111;109;52;52;,2;1;1;1;2;1;2;
1603353590,192.168.1.191,64372,54.149.94.178,443,6,272,161,3,2,1603353590713;1603353590742;1603353590758;1603353590758;1603353590831;,109;111;109;52;52;,1;1;2;1;2;
1603353590,192.168.1.191,64378,54.149.94.178,443,6,272,161,3,2,1603353590713;1603353590744;1603353590756;1603353590756;1603353590833;,109;111;109;52;52;,1;1;2;1;2;
1603353590,192.168.1.191,64380,54.149.94.178,443,6,272,161,3,2,1603353590713;1603353590749;1603353590755;1603353590755;1603353590831;,109;111;109;52;52;,1;1;2;1;2;
1603353590,192.168.1.191,54295,239.255.255.250,1900,17,203,0,1,0,1603353590814;,203;,1;
1603353590,192.168.1.191,64388,40.78.253.3,443,6,139,135,2,2,1603353590891;1603353590941;1603353590941;1603353590941;,87;52;83;52;,1;2;2;1;
