Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1603073263,192.168.1.21,5353,224.0.0.251,5353,17,2876,0,7,0,1603073263386;1603073263387;1603073263389;1603073263391;1603073263392;1603073263588;1603073263892;,1464;198;186;338;456;118;116;,1;1;1;1;1;1;1;
1603073263,192.168.1.191,65193,54.203.112.76,443,6,52,52,1,1,1603073263486;1603073263486;,52;52;,2;1;
1603073263,192.168.1.191,65114,142.250.68.67,443,6,40,0,1,0,1603073263595;,40;,1;
1603073263,192.168.1.191,65125,17.248.188.42,443,6,717,0,1,0,1603073263730;,717;,1;
1603073264,192.168.1.21,5353,224.0.0.251,5353,17,1864,0,3,0,1603073264308;1603073264309;1603073264311;,1480;198;186;,1;1;1;
1603073264,192.168.1.63,5353,224.0.0.251,5353,17,178,0,1,0,1603073264311;,178;,1;
1603073265,192.168.1.191,65092,74.125.137.189,443,6,1470,0,1,0,1603073265051;,1470;,1;
1603073265,192.168.1.21,5353,224.0.0.251,5353,17,2067,0,3,0,1603073265327;1603073265330;1603073265430;,186;1478;403;,1;1;1;
1603073265,192.168.1.1,192,192.168.1.191,50045,17,0,32,0,1,1603073265770;,32;,2;
1603073266,192.168.1.191,65145,54.149.94.178,443,6,160,108,2,1,1603073266253;1603073266307;1603073266307;,108;108;52;,1;2;1;
1603073266,192.168.1.191,65146,54.149.94.178,443,6,160,108,2,1,1603073266254;1603073266306;1603073266306;,108;108;52;,1;2;1;
1603073266,192.168.1.1,192,192.168.1.191,50045,17,0,32,0,1,1603073266274;,32;,2;
1603073266,192.168.1.21,5353,224.0.0.251,5353,17,308,0,1,0,1603073266453;,308;,1;
1603073266,192.168.1.191,65161,142.250.101.188,5228,6,40,52,1,1,1603073266621;1603073266653;,40;52;,1;2;
1603073266,192.168.1.191,65160,142.250.101.188,5228,6,40,52,1,1,1603073266621;1603073266653;,40;52;,1;2;
1603073266,192.168.1.191,65076,140.82.114.25,443,6,80,0,1,0,1603073266951;,80;,1;
1603073267,192.168.1.191,65147,54.149.94.178,443,6,160,108,2,1,1603073267108;1603073267156;1603073267156;,108;108;52;,1;2;1;
1603073267,192.168.1.191,65148,54.149.94.178,443,6,160,108,2,1,1603073267109;1603073267154;1603073267154;,108;108;52;,1;2;1;
1603073267,192.168.1.21,5353,224.0.0.251,5353,17,186,0,1,0,1603073267271;,186;,1;
1603073267,192.168.1.191,65228,49.51.65.181,80,6,104,52,2,1,1603073267323;1603073267353;1603073267353;,52;52;52;,1;2;1;
1603073267,192.168.1.243,65332,255.255.255.255,6667,17,200,0,1,0,1603073267988;,200;,1;
1603073268,192.168.1.21,5353,224.0.0.251,5353,17,1881,0,2,0,1603073268094;1603073268096;,1478;403;,1;1;
1603073268,192.168.1.191,65192,54.203.112.76,443,6,52,52,1,1,1603073268504;1603073268504;,52;52;,2;1;
1603073268,192.168.1.191,65191,54.203.112.76,443,6,52,52,1,1,1603073268525;1603073268525;,52;52;,2;1;
1603073268,192.168.1.191,65189,54.203.112.76,443,6,52,52,1,1,1603073268539;1603073268539;,52;52;,2;1;
1603073269,192.168.1.191,65094,54.203.112.76,443,6,40,0,1,0,1603073269065;,40;,1;
1603073269,192.168.1.191,65190,54.203.112.76,443,6,52,52,1,1,1603073269138;1603073269138;,52;52;,2;1;
1603073270,192.168.1.191,65103,140.82.114.25,443,6,984,0,1,0,1603073270253;,984;,1;
1603073272,192.168.1.191,65194,34.237.129.180,443,6,40,52,1,1,1603073272673;1603073272760;,40;52;,1;2;
1603073272,192.168.1.21,5353,224.0.0.251,5353,17,326,0,1,0,1603073272699;,326;,1;
1603073273,192.168.1.243,65332,255.255.255.255,6667,17,200,0,1,0,1603073273007;,200;,1;
1603073273,192.168.1.63,5353,224.0.0.251,5353,17,178,0,1,0,1603073273313;,178;,1;
1603073273,192.168.1.191,65200,34.237.129.180,443,6,40,52,1,1,1603073273484;1603073273568;,40;52;,1;2;
1603073273,192.168.1.191,65193,54.203.112.76,443,6,52,52,1,1,1603073273530;1603073273530;,52;52;,2;1;
1603073274,192.168.1.191,65199,54.214.87.230,443,6,40,52,1,1,1603073274047;1603073274103;,40;52;,1;2;
1603073274,192.168.1.191,65201,54.214.87.230,443,6,40,52,1,1,1603073274113;1603073274159;,40;52;,1;2;
1603073274,192.168.1.191,65232,40.78.253.2,443,6,191,221,3,3,1603073274358;1603073274408;1603073274408;1603073274408;1603073274452;1603073274453;,87;52;83;52;86;52;,1;2;2;1;2;1;
1603073274,192.168.1.191,65092,74.125.137.189,443,6,1470,0,1,0,1603073274423;,1470;,1;
1603073275,192.168.1.191,65145,54.149.94.178,443,6,110,52,1,1,1603073275034;1603073275126;,110;52;,1;2;
1603073275,192.168.1.191,65146,54.149.94.178,443,6,110,52,1,1,1603073275036;1603073275128;,110;52;,1;2;
1603073275,192.168.1.191,65147,54.149.94.178,443,6,110,52,1,1,1603073275037;1603073275126;,110;52;,1;2;
1603073275,192.168.1.191,65148,54.149.94.178,443,6,110,52,1,1,1603073275040;1603073275128;,110;52;,1;2;
1603073275,192.168.1.191,65125,17.248.188.42,443,6,717,0,1,0,1603073275359;,717;,1;
1603073275,192.168.1.247,5353,224.0.0.251,5353,17,167,0,1,0,1603073275361;,167;,1;
1603073275,192.168.1.21,5353,224.0.0.251,5353,17,272,0,1,0,1603073275362;,272;,1;
1603073275,192.168.1.191,5353,192.168.1.247,5353,17,445,0,1,0,1603073275613;,445;,1;
1603073276,192.168.1.157,57621,192.168.1.255,57621,17,72,0,1,0,1603073276078;,72;,1;
1603073276,192.168.1.247,5353,224.0.0.251,5353,17,292,0,1,0,1603073276283;,292;,1;
1603073276,192.168.1.191,65232,40.78.253.2,443,6,90,52,1,1,1603073276424;1603073276522;,90;52;,1;2;
1603073276,192.168.1.21,5353,224.0.0.251,5353,17,1182,0,1,0,1603073276591;,1182;,1;
