Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1604354788,192.168.1.185,5353,224.0.0.251,5353,17,245,0,1,0,1604354788083;,245;,1;
1604354788,FE80::1800:F549:5FC0:B082,5353,FF02::FB,5353,17,265,0,1,0,1604354788083;,265;,1;
1604354789,192.168.1.137,59295,239.255.255.250,1900,17,198,0,1,0,1604354789106;,198;,1;
1604354789,192.168.1.198,62833,54.149.94.178,443,6,108,0,1,0,1604354789996;,108;,1;
1604354790,192.168.1.198,62833,54.149.94.178,443,6,52,160,1,2,1604354790038;1604354790038;1604354790038;,52;108;52;,2;2;1;
1604354790,192.168.1.137,59295,239.255.255.250,1900,17,198,0,1,0,1604354790131;,198;,1;
1604354790,192.168.1.198,62999,40.108.150.73,443,6,151,80,3,2,1604354790658;1604354790659;1604354790736;1604354790736;1604354790736;,71;40;40;40;40;,1;1;2;2;1;
1604354790,192.168.1.198,51957,192.168.1.1,53,17,79,125,1,1,1604354790730;1604354790731;,79;125;,1;2;
1604354790,192.168.1.198,62517,192.168.1.1,53,17,157,235,2,2,1604354790730;1604354790732;1604354790732;1604354790732;,79;78;141;94;,1;1;2;2;
1604354790,192.168.1.198,63013,52.109.8.71,443,6,10311,6291,21,10,1604354790731;1604354790792;1604354790792;1604354790794;1604354790860;1604354790861;1604354790861;1604354790861;1604354790861;1604354790861;1604354790861;1604354790873;1604354790932;1604354790932;1604354790932;1604354790932;1604354790934;1604354790935;1604354790935;1604354790935;1604354790935;1604354790935;1604354790935;1604354790935;1604354790996;1604354790996;1604354790996;1604354790998;1604354790998;1604354790998;1604354790998;,64;52;40;557;1500;1500;1500;1381;40;40;40;198;91;109;40;40;93;90;82;270;78;1480;1480;1480;40;78;1188;40;1480;1480;51;,1;2;1;1;2;2;2;2;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;2;2;1;2;1;1;1;
1604354790,192.168.1.198,0,192.168.1.1,0,1,56,0,1,0,1604354790733;,56;,1;
1604354790,192.168.1.198,62834,54.149.94.178,443,6,108,0,1,0,1604354790996;,108;,1;
1604354790,192.168.1.198,62844,54.149.94.178,443,6,108,0,1,0,1604354790996;,108;,1;
1604354791,192.168.1.198,62834,54.149.94.178,443,6,52,108,1,1,1604354791046;1604354791046;,108;52;,2;1;
1604354791,192.168.1.198,62844,54.149.94.178,443,6,52,108,1,1,1604354791050;1604354791051;,108;52;,2;1;
1604354791,192.168.1.198,63013,52.109.8.71,443,6,477,1814,10,9,1604354791067;1604354791067;1604354791067;1604354791067;1604354791067;1604354791068;1604354791068;1604354791068;1604354791068;1604354791068;1604354791068;1604354791116;1604354791116;1604354791117;1604354791117;1604354791118;1604354791178;1604354791178;1604354791178;,40;95;95;95;95;82;40;40;40;40;40;1232;40;86;71;40;40;40;40;,2;2;2;2;2;2;1;1;1;1;1;2;1;1;1;1;2;2;1;
1604354791,192.168.1.137,59295,239.255.255.250,1900,17,198,0,1,0,1604354791154;,198;,1;
1604354791,2605:E000:1C0E:4711:BC4E:FAA9:2C1:B676,62808,2607:F8B0:4023:C06::BC,5228,6,60,72,1,1,1604354791190;1604354791209;,60;72;,1;2;
1604354791,192.168.1.137,57621,192.168.1.255,57621,17,72,0,1,0,1604354791359;,72;,1;
1604354791,2605:E000:1C0E:4711:BC4E:FAA9:2C1:B676,62597,2607:F8B0:4023:C03::6D,993,6,60,72,1,1,1604354791895;1604354791925;,60;72;,1;2;
1604354792,192.168.1.137,59295,239.255.255.250,1900,17,198,0,1,0,1604354792179;,198;,1;
1604354797,192.168.1.185,5353,224.0.0.251,5353,17,245,0,1,0,1604354797196;,245;,1;
1604354797,FE80::1800:F549:5FC0:B082,5353,FF02::FB,5353,17,265,0,1,0,1604354797197;,265;,1;
