Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1604293125,192.168.0.178,54619,137.110.0.70,443,17,2902,2753,14,14,1604293125078;1604293125078;1604293125078;1604293125078;1604293125101;1604293125101;1604293125101;1604293125101;1604293125101;1604293125102;1604293125126;1604293125127;1604293125127;1604293125127;1604293125127;1604293125127;1604293125127;1604293125157;1604293125192;1604293125192;1604293125193;1604293125193;1604293125193;1604293125193;1604293125193;1604293125194;1604293125194;1604293125219;,747;298;222;177;138;138;138;138;177;138;233;212;177;138;138;138;177;138;204;138;394;351;177;138;138;138;177;138;,1;1;1;1;2;2;2;2;2;1;2;2;2;1;1;1;1;2;2;1;2;2;2;1;1;1;1;2;
1604293125,192.168.0.223,5353,224.0.0.251,5353,17,122,0,1,0,1604293125168;,122;,1;
1604293125,192.168.0.104,5353,224.0.0.251,5353,17,414,0,1,0,1604293125270;,414;,1;
1604293125,192.168.0.1,32932,224.0.0.251,5353,17,72,0,1,0,1604293125475;,72;,1;
1604293125,192.168.0.1,58779,224.0.0.251,5353,17,72,0,1,0,1604293125475;,72;,1;
1604293125,192.168.0.1,60794,255.255.255.255,7437,17,201,0,1,0,1604293125679;,201;,1;
1604293126,192.168.0.178,54619,137.110.0.70,443,17,283,256,2,2,1604293126068;1604293126154;1604293126763;1604293126784;,157;118;126;138;,1;2;1;2;
1604293127,192.168.0.178,54619,137.110.0.70,443,17,4528,3456,17,16,1604293127071;1604293127071;1604293127071;1604293127072;1604293127072;1604293127077;1604293127078;1604293127078;1604293127078;1604293127097;1604293127103;1604293127103;1604293127103;1604293127104;1604293127104;1604293127105;1604293127174;1604293127174;1604293127174;1604293127174;1604293127174;1604293127174;1604293127175;1604293127175;1604293127175;1604293127190;1604293127191;1604293127196;1604293127198;1604293127204;1604293127221;1604293127259;1604293127259;,177;138;138;138;138;508;177;1366;579;138;138;138;138;138;177;138;533;337;138;234;177;138;138;138;177;551;138;171;170;138;138;166;138;,2;2;1;1;1;1;1;1;1;2;2;2;2;2;2;1;2;2;1;2;2;1;1;1;1;2;1;1;1;2;2;2;1;
1604293128,192.168.0.178,54619,137.110.0.70,443,17,5296,835,9,4,1604293128057;1604293128057;1604293128057;1604293128057;1604293128057;1604293128111;1604293128118;1604293128119;1604293128180;1604293128222;1604293128237;1604293128238;1604293128269;,219;1366;1366;565;1228;138;425;138;170;106;166;138;106;,1;1;1;1;1;2;2;1;1;1;2;1;2;
1604293128,192.168.0.153,5353,224.0.0.251,5353,17,116,0,1,0,1604293128648;,116;,1;
1604293128,FE80::43D:23FB:4AA0:BAF5,5353,FF02::FB,5353,17,136,0,1,0,1604293128649;,136;,1;
1604293128,192.168.0.1,60794,255.255.255.255,7437,17,201,0,1,0,1604293128749;,201;,1;
1604293130,192.168.0.223,0,224.0.0.251,0,2,32,0,1,0,1604293130899;,32;,1;
1604293131,192.168.0.178,54619,137.110.0.70,443,17,138,191,1,1,1604293131107;1604293131107;,191;138;,2;1;
1604293131,192.168.0.1,38552,239.255.255.250,1900,17,4139,0,9,0,1604293131820;1604293131820;1604293131821;1604293131822;1604293131823;1604293131824;1604293131824;1604293131825;1604293131826;,408;417;480;476;456;488;470;472;472;,1;1;1;1;1;1;1;1;1;
1604293131,192.168.0.241,5353,224.0.0.251,5353,17,140,0,1,0,1604293131826;,140;,1;
1604293131,FE80::148F:67AE:DF0F:609C,5353,FF02::FB,5353,17,160,0,1,0,1604293131827;,160;,1;
1604293131,192.168.0.1,60794,255.255.255.255,7437,17,201,0,1,0,1604293131834;,201;,1;
1604293132,192.168.0.241,5353,224.0.0.251,5353,17,246,0,2,0,1604293132434;1604293132843;,106;140;,1;1;
1604293132,FE80::148F:67AE:DF0F:609C,5353,FF02::FB,5353,17,286,0,2,0,1604293132434;1604293132843;,126;160;,1;1;
1604293132,192.168.0.246,5353,224.0.0.251,5353,17,233,0,1,0,1604293132638;,233;,1;
1604293132,192.168.0.178,54619,137.110.0.70,443,17,138,162,1,1,1604293132950;1604293132951;,162;138;,2;1;
1604293133,192.168.0.178,54619,137.110.0.70,443,17,7521,807,9,4,1604293133226;1604293133226;1604293133226;1604293133226;1604293133226;1604293133226;1604293133226;1604293133226;1604293133290;1604293133290;1604293133291;1604293133299;1604293133299;,219;1366;1366;565;1366;1366;565;570;138;138;138;393;138;,1;1;1;1;1;1;1;1;2;2;2;2;1;
1604293133,192.168.0.241,5353,224.0.0.251,5353,17,106,0,1,0,1604293133456;,106;,1;
1604293133,FE80::148F:67AE:DF0F:609C,5353,FF02::FB,5353,17,126,0,1,0,1604293133457;,126;,1;
1604293134,192.168.0.178,54619,137.110.0.70,443,17,448,431,4,3,1604293134382;1604293134382;1604293134382;1604293134383;1604293134383;1604293134383;1604293134383;,164;118;118;149;118;106;106;,2;1;1;2;2;1;1;
1604293134,192.168.0.1,60794,255.255.255.255,7437,17,201,0,1,0,1604293134889;,201;,1;
1604293134,192.168.0.241,5353,224.0.0.251,5353,17,106,0,1,0,1604293134890;,106;,1;
1604293134,FE80::148F:67AE:DF0F:609C,5353,FF02::FB,5353,17,126,0,1,0,1604293134890;,126;,1;
1604293135,192.168.0.241,5353,224.0.0.251,5353,17,167,0,1,0,1604293135811;,167;,1;
1604293135,FE80::148F:67AE:DF0F:609C,5353,FF02::FB,5353,17,187,0,1,0,1604293135811;,187;,1;
1604293136,192.168.0.178,54619,137.110.0.70,443,17,392,400,3,3,1604293136022;1604293136052;1604293136622;1604293136622;1604293136622;1604293136702;,126;138;144;118;148;118;,1;2;2;1;1;2;
1604293137,192.168.0.178,54619,137.110.0.70,443,17,2867,3259,11,10,1604293137319;1604293137319;1604293137319;1604293137346;1604293137353;1604293137354;1604293137354;1604293137354;1604293137389;1604293137392;1604293137392;1604293137393;1604293137393;1604293137395;1604293137396;1604293137396;1604293137396;1604293137396;1604293137427;1604293137448;1604293137448;,1366;149;177;138;138;138;177;138;170;1346;138;672;138;169;138;177;138;177;138;166;138;,1;1;1;2;2;2;2;1;1;2;1;2;1;2;1;2;1;1;2;2;1;
1604293137,192.168.0.1,60794,255.255.255.255,7437,17,201,0,1,0,1604293137960;,201;,1;
1604293138,192.168.0.178,54619,137.110.0.70,443,17,870,754,6,5,1604293138186;1604293138320;1604293138421;1604293138422;1604293138422;1604293138422;1604293138422;1604293138451;1604293138872;1604293138942;1604293138943;,148;118;194;138;138;138;138;138;170;166;138;,1;2;2;2;1;1;1;2;1;2;1;
1604293139,192.168.0.178,54619,137.110.0.70,443,17,3494,2342,11,10,1604293139184;1604293139184;1604293139184;1604293139184;1604293139229;1604293139229;1604293139229;1604293139229;1604293139230;1604293139280;1604293139280;1604293139280;1604293139280;1604293139284;1604293139284;1604293139284;1604293139284;1604293139285;1604293139326;1604293139454;1604293139479;,381;177;1366;577;138;138;177;138;138;535;395;138;138;368;177;138;138;177;138;126;138;,1;1;1;1;2;2;2;2;1;2;2;1;1;2;2;1;1;1;2;1;2;
1604293140,192.168.0.178,54619,137.110.0.70,443,17,7574,822,9,4,1604293140056;1604293140142;1604293140250;1604293140250;1604293140250;1604293140250;1604293140250;1604293140250;1604293140318;1604293140340;1604293140341;1604293140505;1604293140525;,126;138;1248;1366;1366;565;1366;1293;138;428;138;106;118;,1;2;1;1;1;1;1;1;2;2;1;1;2;
1604293141,192.168.0.1,60794,255.255.255.255,7437,17,201,0,1,0,1604293141030;,201;,1;
1604293141,192.168.0.178,54619,137.110.0.70,443,17,1606,1485,8,8,1604293141293;1604293141293;1604293141321;1604293141327;1604293141414;1604293141414;1604293141414;1604293141414;1604293141414;1604293141414;1604293141414;1604293141414;1604293141415;1604293141445;1604293141564;1604293141586;,473;298;138;138;233;354;189;177;138;138;138;138;177;138;106;118;,1;1;2;2;2;2;2;2;1;1;1;1;1;2;1;2;
1604293143,192.168.0.178,54619,137.110.0.70,443,17,3163,1999,8,8,1604293143368;1604293143368;1604293143368;1604293143395;1604293143401;1604293143401;1604293143470;1604293143470;1604293143471;1604293143471;1604293143471;1604293143471;1604293143471;1604293143471;1604293143472;1604293143498;,489;1366;579;138;138;138;534;138;525;211;177;138;138;138;177;138;,1;1;1;2;2;2;2;1;2;2;2;1;1;1;1;2;
1604293143,192.168.0.104,5353,224.0.0.251,5353,17,872,0,6,0,1604293143485;1604293143486;1604293143486;1604293143487;1604293143487;1604293143487;,68;105;254;172;67;206;,1;1;1;1;1;1;
1604293144,192.168.0.178,54619,137.110.0.70,443,17,397,405,3,3,1604293144033;1604293144059;1604293144060;1604293144079;1604293144108;1604293144109;,153;126;118;138;149;118;,1;1;2;2;2;1;
1604293144,192.168.0.1,60794,255.255.255.255,7437,17,201,0,1,0,1604293144099;,201;,1;
1604293144,192.168.0.170,57621,192.168.0.255,57621,17,72,0,1,0,1604293144201;,72;,1;
1604293144,192.168.0.241,5353,224.0.0.251,5353,17,140,0,1,0,1604293144816;,140;,1;
1604293144,FE80::148F:67AE:DF0F:609C,5353,FF02::FB,5353,17,160,0,1,0,1604293144816;,160;,1;
1604293145,192.168.0.178,54619,137.110.0.70,443,17,138,191,1,1,1604293145647;1604293145647;,191;138;,2;1;
1604293147,192.168.0.1,60794,255.255.255.255,7437,17,201,0,1,0,1604293147171;,201;,1;
1604293147,192.168.0.178,54619,137.110.0.70,443,17,481,304,3,2,1604293147662;1604293147689;1604293147734;1604293147792;1604293147793;,173;138;170;166;138;,1;2;1;2;1;
1604293148,192.168.0.178,54619,137.110.0.70,443,17,895,567,3,3,1604293148093;1604293148131;1604293148226;1604293148317;1604293148322;1604293148322;,444;138;333;118;311;118;,1;2;1;2;2;1;
1604293148,192.168.0.1,43253,192.168.0.255,20002,17,333,0,1,0,1604293148807;,333;,1;
1604293149,192.168.0.178,54619,137.110.0.70,443,17,560,442,4,3,1604293149159;1604293149192;1604293149237;1604293149299;1604293149300;1604293149574;1604293149600;,126;138;170;166;138;126;138;,1;2;1;2;1;1;2;
1604293150,192.168.0.178,54619,137.110.0.70,443,17,3960,2808,15,11,1604293150236;1604293150236;1604293150343;1604293150343;1604293150352;1604293150360;1604293150360;1604293150361;1604293150455;1604293150461;1604293150462;1604293150463;1604293150464;1604293150464;1604293150497;1604293150509;1604293150509;1604293150510;1604293150510;1604293150517;1604293150570;1604293150579;1604293150579;1604293150613;1604293150624;1604293150624;,130;130;126;118;686;126;118;686;118;118;266;118;161;583;126;266;118;161;589;138;118;707;118;118;707;118;,1;1;2;1;1;2;1;1;2;2;2;1;1;1;1;2;1;1;1;2;2;2;1;2;2;1;
1604293150,192.168.0.1,60794,255.255.255.255,7437,17,201,0,1,0,1604293150239;,201;,1;
1604293151,192.168.0.178,54619,137.110.0.70,443,17,244,118,2,1,1604293151169;1604293151822;1604293151909;,138;106;118;,1;1;2;
1604293151,192.168.0.178,54433,137.110.0.70,443,6,89,52,1,1,1604293151672;1604293151711;,89;52;,1;2;
1604293152,192.168.0.178,54619,137.110.0.70,443,17,1270,1355,8,8,1604293152575;1604293152575;1604293152619;1604293152627;1604293152628;1604293152628;1604293152644;1604293152645;1604293152645;1604293152645;1604293152645;1604293152646;1604293152646;1604293152646;1604293152646;1604293152676;,226;177;138;138;177;138;206;138;212;169;177;138;138;138;177;138;,1;1;2;2;2;1;2;1;2;2;2;1;1;1;1;2;
1604293153,192.168.0.1,60794,255.255.255.255,7437,17,201,0,1,0,1604293153310;,201;,1;
