Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1604293449,192.168.0.104,5353,224.0.0.251,5353,17,872,0,6,0,1604293449461;1604293449462;1604293449462;1604293449462;1604293449463;1604293449463;,68;105;254;172;67;206;,1;1;1;1;1;1;
1604293450,192.168.0.178,54619,137.110.0.70,443,17,2564,1858,4,3,1604293450075;1604293450075;1604293450075;1604293450169;1604293450171;1604293450178;1604293450179;,1366;839;241;118;1366;374;118;,1;1;1;2;2;2;1;
1604293450,192.168.0.1,60794,255.255.255.255,7437,17,201,0,1,0,1604293450079;,201;,1;
1604293450,192.168.0.1,48659,224.0.0.251,5353,17,72,0,1,0,1604293450894;,72;,1;
1604293450,192.168.0.1,40220,224.0.0.251,5353,17,72,0,1,0,1604293450895;,72;,1;
1604293451,192.168.0.178,54619,137.110.0.70,443,17,880,470,6,3,1604293451077;1604293451077;1604293451144;1604293451144;1604293451145;1604293451145;1604293451185;1604293451273;1604293451294;,170;170;166;166;138;138;138;126;138;,1;1;2;2;1;1;1;1;2;
1604293451,192.168.0.1,35320,192.168.0.255,20002,17,333,0,1,0,1604293451303;,333;,1;
1604293452,192.168.0.178,54433,137.110.0.70,443,6,89,52,1,1,1604293452091;1604293452131;,89;52;,1;2;
1604293453,192.168.0.1,60794,255.255.255.255,7437,17,201,0,1,0,1604293453147;,201;,1;
1604293453,192.168.0.178,54619,137.110.0.70,443,17,184,0,1,0,1604293453256;,184;,1;
1604293454,192.168.0.178,54619,137.110.0.70,443,17,271,267,2,2,1604293454011;1604293454037;1604293454086;1604293454086;,153;118;149;118;,1;2;2;1;
1604293455,192.168.0.178,54619,137.110.0.70,443,17,2909,2882,15,15,1604293455390;1604293455390;1604293455398;1604293455399;1604293455414;1604293455421;1604293455422;1604293455422;1604293455422;1604293455423;1604293455447;1604293455447;1604293455447;1604293455447;1604293455448;1604293455448;1604293455448;1604293455448;1604293455449;1604293455483;1604293455508;1604293455509;1604293455509;1604293455509;1604293455509;1604293455509;1604293455509;1604293455510;1604293455510;1604293455532;,611;298;227;177;138;138;138;138;177;138;206;212;169;177;138;138;138;138;177;138;204;138;310;422;177;138;138;138;177;138;,1;1;1;1;2;2;2;2;2;1;2;2;2;2;1;1;1;1;1;2;2;1;2;2;2;1;1;1;1;2;
1604293456,192.168.0.1,60794,255.255.255.255,7437,17,201,0,1,0,1604293456217;,201;,1;
