Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1604287981,192.168.0.178,53905,151.101.196.133,443,6,40,52,1,1,1604287981617;1604287981651;,40;52;,1;2;
1604287981,192.168.0.246,5353,224.0.0.251,5353,17,75,0,1,0,1604287981794;,75;,1;
1604287981,192.168.0.1,60794,255.255.255.255,7437,17,201,0,1,0,1604287981795;,201;,1;
1604287982,192.168.0.178,53908,151.101.196.133,443,6,40,52,1,1,1604287982118;1604287982157;,40;52;,1;2;
1604287982,192.168.0.178,53904,151.101.196.133,443,6,40,52,1,1,1604287982118;1604287982157;,40;52;,1;2;
1604287982,192.168.0.178,53903,185.199.108.154,443,6,40,52,1,1,1604287982619;1604287982658;,40;52;,1;2;
1604287983,192.168.0.178,53738,192.168.0.104,8009,6,214,162,2,1,1604287983078;1604287983092;1604287983092;,162;162;52;,1;2;1;
1604287983,192.168.0.104,5353,224.0.0.251,5353,17,872,0,6,0,1604287983944;1604287983944;1604287983945;1604287983945;1604287983945;1604287983947;,68;105;254;172;67;206;,1;1;1;1;1;1;
1604287984,192.168.0.178,63799,74.125.137.189,443,17,61,53,1,1,1604287984108;1604287984173;,61;53;,1;2;
1604287984,192.168.0.178,53936,3.220.47.143,443,6,40,52,1,1,1604287984137;1604287984227;,40;52;,1;2;
1604287984,192.168.0.223,5353,224.0.0.251,5353,17,122,0,1,0,1604287984558;,122;,1;
1604287984,192.168.0.1,60794,255.255.255.255,7437,17,201,0,1,0,1604287984865;,201;,1;
1604287985,192.168.0.178,52659,172.217.14.78,443,17,2082,963,3,3,1604287985095;1604287985095;1604287985133;1604287985190;1604287985191;1604287985194;,1378;643;54;824;85;61;,1;1;2;2;2;1;
1604287985,192.168.0.178,53737,192.168.0.104,8009,6,214,162,2,1,1604287985107;1604287985113;1604287985113;,162;162;52;,1;2;1;
1604287986,192.168.0.178,53787,31.13.70.1,443,6,136,80,2,1,1604287986249;1604287986329;1604287986329;,84;80;52;,1;2;1;
