Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1604288354,192.168.0.246,5353,224.0.0.251,5353,17,75,0,1,0,1604288354800;,75;,1;
1604288355,192.168.0.1,60794,255.255.255.255,7437,17,201,0,1,0,1604288355108;,201;,1;
1604288355,192.168.0.178,57621,192.168.0.255,57621,17,72,0,1,0,1604288355196;,72;,1;
1604288355,192.168.0.178,53957,31.13.70.1,443,6,136,80,2,1,1604288355564;1604288355640;1604288355641;,84;80;52;,1;2;1;
1604288356,192.168.0.178,53738,192.168.0.104,8009,6,214,162,2,1,1604288356006;1604288356018;1604288356019;,162;162;52;,1;2;1;
1604288356,192.168.0.178,54004,192.30.255.116,443,6,40,52,1,1,1604288356017;1604288356122;,40;52;,1;2;
1604288357,192.168.0.178,53969,151.101.196.133,443,6,40,52,1,1,1604288357161;1604288357200;,40;52;,1;2;
1604288357,192.168.0.178,52659,172.217.14.78,443,17,61,64,1,1,1604288357773;1604288357777;,64;61;,2;1;
1604288357,192.168.0.178,53957,31.13.70.1,443,6,52,287,1,1,1604288357785;1604288357786;,287;52;,2;1;
1604288357,192.168.0.178,53989,31.13.70.36,443,6,3311,2321,10,10,1604288357800;1604288357800;1604288357800;1604288357815;1604288357815;1604288357815;1604288357818;1604288357818;1604288357847;1604288357847;1604288357863;1604288357863;1604288357863;1604288357864;1604288357949;1604288357949;1604288357959;1604288357959;1604288357961;1604288357961;,127;91;1402;52;52;52;104;52;138;1293;52;52;87;52;758;52;1028;52;84;52;,1;1;1;2;2;2;2;1;1;1;2;2;2;1;2;1;2;1;2;1;
1604288357,192.168.0.178,54000,31.13.70.7,443,6,1127,6740,13,14,1604288357818;1604288357818;1604288357823;1604288357832;1604288357832;1604288357833;1604288357833;1604288357836;1604288357836;1604288357836;1604288357836;1604288357836;1604288357836;1604288357836;1604288357836;1604288357836;1604288357836;1604288357842;1604288357842;1604288357883;1604288357883;1604288357883;1604288357883;1604288357884;1604288357884;1604288357884;1604288357884;,259;91;257;52;87;52;149;1432;77;1432;94;91;52;52;52;52;52;87;52;255;287;52;1171;1432;94;52;52;,1;1;1;2;2;1;2;2;2;2;2;2;1;1;1;1;1;2;1;2;2;1;2;2;2;1;1;
1604288357,192.168.0.178,21359,192.168.0.1,53,17,74,90,1,1,1604288357818;1604288357837;,74;90;,1;2;
1604288357,192.168.0.178,54013,157.240.11.22,443,6,1900,4022,14,14,1604288357838;1604288357863;1604288357863;1604288357864;1604288357891;1604288357892;1604288357892;1604288357893;1604288357893;1604288357894;1604288357911;1604288357911;1604288357911;1604288357914;1604288357914;1604288357914;1604288357914;1604288357914;1604288357914;1604288357914;1604288357914;1604288357914;1604288357914;1604288357914;1604288357914;1604288357914;1604288357914;1604288357948;,64;60;52;569;52;264;52;116;144;508;52;52;52;231;132;96;335;1118;1432;94;52;52;52;52;52;52;83;52;,1;2;1;1;2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;2;
1604288357,192.168.0.178,53748,35.171.152.91,443,6,52,806,1,1,1604288357961;1604288357961;,806;52;,2;1;
1604288357,192.168.0.178,53751,35.171.152.91,443,6,52,806,1,1,1604288357961;1604288357961;,806;52;,2;1;
1604288358,192.168.0.178,54000,31.13.70.7,443,6,1347,9257,14,16,1604288358000;1604288358001;1604288358001;1604288358013;1604288358013;1604288358016;1604288358019;1604288358019;1604288358019;1604288358019;1604288358019;1604288358019;1604288358019;1604288358019;1604288358019;1604288358020;1604288358020;1604288358023;1604288358023;1604288358023;1604288358023;1604288358024;1604288358024;1604288358024;1604288358078;1604288358080;1604288358080;1604288358080;1604288358080;1604288358080;,258;259;258;87;52;173;1432;148;1432;94;52;52;52;52;52;100;52;144;1404;52;1432;52;94;52;219;920;1432;94;52;52;,1;1;1;2;1;2;2;2;2;2;1;1;1;1;2;2;1;2;2;1;2;1;2;1;2;2;2;2;1;1;
1604288358,192.168.0.178,53989,31.13.70.36,443,6,1539,1303,5,5,1604288358001;1604288358001;1604288358019;1604288358019;1604288358019;1604288358020;1604288358089;1604288358089;1604288358100;1604288358100;,138;1245;52;52;87;52;1028;52;84;52;,1;1;2;2;2;1;2;1;2;1;
1604288358,192.168.0.1,60794,255.255.255.255,7437,17,201,0,1,0,1604288358177;,201;,1;
1604288358,192.168.0.178,63799,74.125.137.189,443,17,61,71,1,1,1604288358240;1604288358245;,71;61;,2;1;
1604288358,192.168.0.178,53737,192.168.0.104,8009,6,214,162,2,1,1604288358262;1604288358288;1604288358288;,162;162;52;,1;2;1;
1604288358,192.168.0.178,53787,31.13.70.1,443,6,136,132,2,2,1604288358663;1604288358710;1604288358740;1604288358740;,84;52;80;52;,1;2;2;1;
1604288361,192.168.0.178,53738,192.168.0.104,8009,6,214,162,2,1,1604288361020;1604288361036;1604288361036;,162;162;52;,1;2;1;
1604288361,192.168.0.1,38552,239.255.255.250,1900,17,3179,0,7,0,1604288361453;1604288361453;1604288361454;1604288361455;1604288361455;1604288361457;1604288361458;,408;417;480;476;456;470;472;,1;1;1;1;1;1;1;
1604288361,192.168.0.170,5353,224.0.0.251,5353,17,73,0,1,0,1604288361658;,73;,1;
1604288361,192.168.0.246,5353,224.0.0.251,5353,17,196,0,1,0,1604288361760;,196;,1;
1604288361,192.168.0.241,5353,224.0.0.251,5353,17,176,0,1,0,1604288361862;,176;,1;
1604288361,FE80::148F:67AE:DF0F:609C,5353,FF02::FB,5353,17,196,0,1,0,1604288361862;,196;,1;
1604288362,192.168.0.178,52659,172.217.14.78,443,17,368,1002,2,4,1604288362221;1604288362250;1604288362286;1604288362286;1604288362286;1604288362290;,307;54;675;62;211;61;,1;2;2;2;2;1;
