Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1604288674,192.168.0.223,5353,224.0.0.251,5353,17,122,0,1,0,1604288674798;,122;,1;
1604288674,192.168.0.104,5353,224.0.0.251,5353,17,414,0,1,0,1604288674799;,414;,1;
1604288675,192.168.0.178,53957,31.13.70.1,443,6,136,132,2,2,1604288675194;1604288675272;1604288675272;1604288675273;,84;52;80;52;,1;2;2;1;
1604288675,192.168.0.178,53787,31.13.70.1,443,6,136,80,2,1,1604288675194;1604288675272;1604288675273;,84;80;52;,1;2;1;
1604288675,192.168.0.246,5353,224.0.0.251,5353,17,75,0,1,0,1604288675310;,75;,1;
1604288676,192.168.0.1,60794,255.255.255.255,7437,17,201,0,1,0,1604288676435;,201;,1;
1604288677,192.168.0.178,53787,31.13.70.1,443,6,104,248,2,2,1604288677564;1604288677565;1604288677697;1604288677697;,157;52;91;52;,2;1;2;1;
1604288677,192.168.0.178,53957,31.13.70.1,443,6,104,213,2,2,1604288677565;1604288677565;1604288677703;1604288677703;,122;52;91;52;,2;1;2;1;
1604288677,192.168.0.178,53791,216.58.193.195,443,6,526,610,7,7,1604288677605;1604288677605;1604288677624;1604288677624;1604288677625;1604288677625;1604288677645;1604288677645;1604288677645;1604288677645;1604288677645;1604288677645;1604288677646;1604288677682;,136;91;52;52;91;52;146;52;126;91;52;52;91;52;,1;1;2;2;2;1;2;1;2;2;1;1;1;2;
1604288677,192.168.0.178,54046,31.13.70.7,443,6,609,3696,7,7,1604288677738;1604288677738;1604288677752;1604288677752;1604288677756;1604288677756;1604288677756;1604288677756;1604288677757;1604288677757;1604288677757;1604288677757;1604288677757;1604288677757;,258;91;87;52;173;1432;387;52;1432;94;91;52;52;52;,1;1;2;1;2;2;2;1;2;2;2;1;1;1;
1604288677,192.168.0.178,54596,31.13.70.36,443,17,1304,1071,3,3,1604288677771;1604288677790;1604288677815;1604288677862;1604288677862;1604288677895;,1175;57;63;961;66;53;,1;2;1;2;1;2;
1604288678,192.168.0.178,53737,192.168.0.104,8009,6,214,162,2,1,1604288678134;1604288678140;1604288678140;,162;162;52;,1;2;1;
1604288678,192.168.0.178,53738,192.168.0.104,8009,6,214,162,2,1,1604288678147;1604288678152;1604288678152;,162;162;52;,1;2;1;
1604288678,192.168.0.178,52579,192.168.0.1,53,17,76,127,1,1,1604288678239;1604288678257;,76;127;,1;2;
1604288678,192.168.0.178,13893,192.168.0.1,53,17,76,127,1,1,1604288678239;1604288678261;,76;127;,1;2;
1604288678,192.168.0.178,39854,192.168.0.1,53,17,76,127,1,1,1604288678239;1604288678263;,76;127;,1;2;
1604288678,192.168.0.178,53327,192.168.0.1,53,17,76,127,1,1,1604288678258;1604288678277;,76;127;,1;2;
1604288678,192.168.0.178,17776,192.168.0.1,53,17,75,112,1,1,1604288678262;1604288678278;,75;112;,1;2;
1604288678,192.168.0.178,52326,192.168.0.1,53,17,79,130,1,1,1604288678265;1604288678285;,79;130;,1;2;
1604288678,192.168.0.178,26266,192.168.0.1,53,17,65,105,1,1,1604288678397;1604288678414;,65;105;,1;2;
1604288678,192.168.0.178,65477,142.250.68.46,443,17,3758,2822,6,7,1604288678416;1604288678458;1604288678464;1604288678464;1604288678464;1604288678464;1604288678486;1604288678545;1604288678547;1604288678547;1604288678547;1604288678547;1604288678547;,1378;70;1378;61;1378;819;53;519;494;60;248;61;61;,1;2;2;1;1;1;2;2;2;2;2;1;1;
