Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1604290085,192.168.0.178,54154,3.80.20.190,443,6,0,52,0,1,1604290085880;,52;,2;
1604290085,192.168.0.178,5353,224.0.0.251,5353,17,73,0,1,0,1604290085912;,73;,1;
1604290085,192.168.0.178,50958,216.58.193.206,443,17,122,659,2,3,1604290085921;1604290085921;1604290085921;1604290085922;1604290085947;,457;61;61;141;61;,2;2;1;2;1;
1604290086,192.168.0.246,5353,224.0.0.251,5353,17,196,0,1,0,1604290086075;,196;,1;
1604290086,192.168.0.178,54157,35.186.224.25,443,6,40,52,1,1,1604290086259;1604290086298;,40;52;,1;2;
1604290086,192.168.0.178,57822,192.168.0.246,60000,17,0,390,0,1,1604290086544;,390;,2;
1604290086,192.168.0.178,57822,192.168.49.1,60000,17,0,390,0,1,1604290086544;,390;,2;
1604290086,192.168.0.178,57621,192.168.0.255,57621,17,72,0,1,0,1604290086568;,72;,1;
1604290086,192.168.0.178,54167,192.168.0.104,8009,6,214,162,2,1,1604290086644;1604290086649;1604290086650;,162;162;52;,1;2;1;
1604290087,192.168.0.1,60794,255.255.255.255,7437,17,201,0,1,0,1604290087099;,201;,1;
1604290087,192.168.0.1,35978,224.0.0.251,5353,17,72,0,1,0,1604290087303;,72;,1;
1604290087,192.168.0.1,48466,224.0.0.251,5353,17,72,0,1,0,1604290087303;,72;,1;
1604290087,192.168.0.178,57822,239.255.255.250,1900,17,153,0,1,0,1604290087858;,153;,1;
1604290087,192.168.0.178,5353,224.0.0.251,5353,17,73,0,1,0,1604290087912;,73;,1;
1604290088,192.168.0.246,5353,224.0.0.251,5353,17,196,0,1,0,1604290088020;,196;,1;
1604290088,192.168.0.178,55553,192.168.0.1,192,17,32,0,1,0,1604290088873;,32;,1;
1604290088,192.168.0.178,0,192.168.0.1,0,1,0,60,0,1,1604290088885;,60;,2;
1604290088,192.168.0.178,57822,192.168.0.246,60000,17,0,390,0,1,1604290088892;,390;,2;
1604290088,192.168.0.178,57822,192.168.49.1,60000,17,0,390,0,1,1604290088896;,390;,2;
1604290089,192.168.0.178,54169,157.240.11.22,443,6,40,52,1,1,1604290089098;1604290089127;,40;52;,1;2;
1604290089,192.168.0.178,54168,31.13.70.7,443,6,40,52,1,1,1604290089098;1604290089127;,40;52;,1;2;
1604290089,192.168.0.178,23076,192.168.0.1,53,17,61,77,1,1,1604290089357;1604290089375;,61;77;,1;2;
1604290089,192.168.0.178,54179,130.211.26.229,443,6,2776,1836,15,12,1604290089375;1604290089417;1604290089417;1604290089418;1604290089447;1604290089452;1604290089452;1604290089459;1604290089459;1604290089459;1604290089459;1604290089477;1604290089477;1604290089478;1604290089498;1604290089498;1604290089498;1604290089517;1604290089920;1604290089920;1604290089921;1604290089921;1604290089922;1604290089922;1604290089922;1604290089958;1604290089958;,64;60;52;633;52;264;52;116;144;461;820;632;52;83;52;83;52;52;330;52;116;52;91;52;91;52;52;,1;2;1;1;2;2;1;1;1;1;1;2;1;1;2;2;1;2;2;1;2;1;2;1;1;2;2;
1604290089,192.168.0.178,55553,192.168.0.1,192,17,32,0,1,0,1604290089376;,32;,1;
1604290089,192.168.0.178,0,192.168.0.1,0,1,0,60,0,1,1604290089385;,60;,2;
1604290089,192.168.0.178,57822,239.255.255.250,1900,17,153,0,1,0,1604290089860;,153;,1;
1604290089,192.168.0.178,5353,224.0.0.251,5353,17,73,0,1,0,1604290089911;,73;,1;
1604290090,192.168.0.246,5353,224.0.0.251,5353,17,196,0,1,0,1604290090066;,196;,1;
1604290090,192.168.0.178,54142,192.168.0.104,8009,6,214,162,2,1,1604290090550;1604290090563;1604290090563;,162;162;52;,1;2;1;
1604290090,192.168.0.178,57822,192.168.0.246,60000,17,0,390,0,1,1604290090890;,390;,2;
1604290090,192.168.0.178,57822,192.168.49.1,60000,17,0,390,0,1,1604290090890;,390;,2;
1604290091,192.168.0.178,28743,192.168.0.1,53,17,66,115,1,1,1604290091199;1604290091218;,66;115;,1;2;
1604290091,192.168.0.178,54180,104.42.248.120,443,6,2407,4921,18,15,1604290091218;1604290091259;1604290091259;1604290091259;1604290091296;1604290091296;1604290091296;1604290091296;1604290091296;1604290091296;1604290091301;1604290091301;1604290091301;1604290091301;1604290091325;1604290091325;1604290091329;1604290091329;1604290091330;1604290091330;1604290091330;1604290091477;1604290091517;1604290091517;1604290091518;1604290091518;1604290091519;1604290091519;1604290091519;1604290091519;1604290091519;1604290091519;1604290091557;,64;60;52;573;52;1500;1500;123;52;52;145;151;645;117;52;52;326;52;130;52;90;90;514;52;248;52;100;100;100;52;52;64;64;,1;2;1;1;2;2;2;2;1;1;1;1;1;1;2;2;2;1;2;1;1;1;2;1;2;1;2;2;2;1;1;1;2;
1604290091,192.168.0.178,51001,192.168.0.1,53,17,60,76,1,1,1604290091442;1604290091539;,60;76;,1;2;
1604290091,192.168.0.178,54181,216.58.193.196,443,6,3789,3943,24,21,1604290091539;1604290091557;1604290091557;1604290091558;1604290091609;1604290091609;1604290091609;1604290091610;1604290091610;1604290091611;1604290091668;1604290091669;1604290091768;1604290091769;1604290091797;1604290091797;1604290091797;1604290091797;1604290091797;1604290091797;1604290091797;1604290091797;1604290091797;1604290091797;1604290091797;1604290091797;1604290091797;1604290091797;1604290091798;1604290091798;1604290091798;1604290091798;1604290091798;1604290091798;1604290091799;1604290091815;1604290091815;1604290091839;1604290091843;1604290091843;1604290091843;1604290091843;1604290091843;1604290091870;1604290091891;,64;60;52;632;52;264;52;116;144;1012;87;230;87;231;52;52;52;83;83;84;83;632;64;72;72;72;64;95;585;826;91;64;52;52;91;632;64;87;52;52;52;52;52;233;52;,1;2;1;1;2;2;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1;2;2;2;1;1;1;1;2;1;1;2;2;2;2;2;1;2;
1604290091,192.168.0.178,54182,216.58.193.196,443,6,916,480,5,5,1604290091542;1604290091609;1604290091609;1604290091609;1604290091797;1604290091797;1604290091798;1604290091798;1604290091799;1604290091843;,64;60;52;632;52;52;264;52;116;52;,1;2;1;1;2;2;2;1;1;2;
1604290091,192.168.0.178,54167,192.168.0.104,8009,6,214,162,2,1,1604290091650;1604290091806;1604290091806;,162;162;52;,1;2;1;
1604290091,192.168.0.178,57822,239.255.255.250,1900,17,153,0,1,0,1604290091862;,153;,1;
1604290091,192.168.0.178,5353,224.0.0.251,5353,17,73,0,1,0,1604290091914;,73;,1;
1604290092,192.168.0.178,50958,216.58.193.206,443,17,892,1786,6,9,1604290092055;1604290092109;1604290092178;1604290092178;1604290092179;1604290092260;1604290092285;1604290092298;1604290092324;1604290092627;1604290092628;1604290092628;1604290092993;1604290092994;1604290092994;,587;54;353;158;61;353;61;54;61;353;54;61;353;54;61;,1;2;2;2;1;2;1;2;1;2;2;1;2;2;1;
1604290092,192.168.0.178,54181,216.58.193.196,443,6,1265,1457,11,7,1604290092067;1604290092067;1604290092067;1604290092068;1604290092068;1604290092068;1604290092068;1604290092068;1604290092068;1604290092068;1604290092068;1604290092069;1604290092089;1604290092445;1604290092588;1604290092589;1604290092723;1604290092724;,52;84;83;64;64;283;64;812;91;52;52;91;52;234;87;235;87;235;,2;2;2;1;1;2;1;2;2;1;1;1;2;1;1;1;1;1;
1604290092,192.168.0.178,21156,192.168.0.1,53,17,71,116,1,1,1604290092071;1604290092089;,71;116;,1;2;
1604290092,192.168.0.178,56424,172.217.11.161,443,17,4090,24219,17,22,1604290092096;1604290092096;1604290092096;1604290092096;1604290092156;1604290092174;1604290092178;1604290092178;1604290092178;1604290092258;1604290092258;1604290092258;1604290092259;1604290092259;1604290092259;1604290092259;1604290092259;1604290092259;1604290092259;1604290092259;1604290092259;1604290092259;1604290092259;1604290092259;1604290092259;1604290092259;1604290092259;1604290092260;1604290092260;1604290092260;1604290092260;1604290092260;1604290092260;1604290092260;1604290092285;1604290092445;1604290092471;1604290092628;1604290092653;,1378;323;140;139;1378;70;53;1378;61;1378;1378;61;1378;1378;61;1378;1188;53;1378;1378;61;61;1378;1311;53;1378;1378;61;61;1378;1378;821;61;61;61;1378;61;1378;61;,1;1;1;1;1;2;2;2;1;2;2;1;2;2;1;2;2;2;2;2;1;1;2;2;2;2;2;1;1;2;2;2;1;1;1;2;1;2;1;
1604290092,192.168.0.178,54183,18.205.93.223,443,6,116,60,2,1,1604290092584;1604290092809;1604290092809;,64;60;52;,1;2;1;
1604290092,192.168.0.178,57822,192.168.0.246,60000,17,0,390,0,1,1604290092840;,390;,2;
1604290092,192.168.0.178,57822,192.168.49.1,60000,17,0,390,0,1,1604290092840;,390;,2;
1604290093,192.168.0.178,53050,172.217.14.78,443,17,4076,1450,6,5,1604290093056;1604290093056;1604290093166;1604290093277;1604290093354;1604290093354;1604290093507;1604290093507;1604290093507;1604290093508;1604290093534;,1378;599;1378;599;53;53;545;254;545;61;61;,1;1;1;1;2;2;2;2;2;1;1;
