Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1604292320,192.168.0.1,41220,224.0.0.251,5353,17,72,0,1,0,1604292320791;,72;,1;
1604292320,192.168.0.1,55532,224.0.0.251,5353,17,72,0,1,0,1604292320791;,72;,1;
1604292320,192.168.0.1,46133,224.0.0.251,5353,17,72,0,1,0,1604292320791;,72;,1;
1604292320,192.168.0.1,57297,224.0.0.251,5353,17,72,0,1,0,1604292320791;,72;,1;
1604292320,192.168.0.178,54619,137.110.0.70,443,17,282,400,2,2,1604292320816;1604292320841;1604292320843;1604292320861;,141;200;141;200;,1;2;1;2;
1604292320,192.168.0.1,38963,224.0.0.251,5353,17,72,0,1,0,1604292320894;,72;,1;
1604292320,192.168.0.1,42970,224.0.0.251,5353,17,72,0,1,0,1604292320894;,72;,1;
1604292320,192.168.0.1,44494,224.0.0.251,5353,17,72,0,1,0,1604292320894;,72;,1;
1604292320,192.168.0.1,60794,255.255.255.255,7437,17,201,0,1,0,1604292320895;,201;,1;
1604292320,192.168.0.246,5353,224.0.0.251,5353,17,303,0,3,0,1604292320995;1604292320995;1604292320996;,105;99;99;,1;1;1;
1604292321,192.168.0.246,5353,224.0.0.251,5353,17,301,0,2,0,1604292321098;1604292321814;,105;196;,1;1;
1604292321,192.168.0.1,38552,239.255.255.250,1900,17,4139,0,9,0,1604292321610;1604292321611;1604292321612;1604292321613;1604292321613;1604292321614;1604292321615;1604292321616;1604292321617;,408;417;480;476;456;488;470;472;472;,1;1;1;1;1;1;1;1;1;
1604292321,192.168.0.178,54619,137.110.0.70,443,17,126,138,1,1,1604292321661;1604292321691;,126;138;,1;2;
1604292321,192.168.0.170,5353,224.0.0.251,5353,17,73,0,1,0,1604292321712;,73;,1;
