Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1603745102,192.168.1.74,53069,52.167.253.237,443,6,5813,8733,12,11,1603745102278;1603745102407;1603745102407;1603745102408;1603745102509;1603745102509;1603745102509;1603745102509;1603745102509;1603745102509;1603745102519;1603745102713;1603745102713;1603745102713;1603745102713;1603745102713;1603745102841;1603745102841;1603745102841;1603745102841;1603745102841;1603745102852;1603745102852;,52;52;40;259;1500;1500;1500;1500;126;40;205;91;1480;197;1480;356;40;40;1500;884;40;1480;184;,1;2;1;1;2;2;2;2;2;1;1;2;1;1;1;1;2;2;2;2;1;1;1;
1603745102,192.168.1.87,5353,224.0.0.251,5353,17,143,0,1,0,1603745102404;,143;,1;
1603745102,192.168.1.74,57987,162.254.195.87,27019,17,112,0,1,0,1603745102839;,112;,1;
1603745103,192.168.1.74,53069,52.167.253.237,443,6,40,392,1,2,1603745103021;1603745103021;1603745103077;,40;352;40;,2;2;1;
1603745103,192.168.1.87,0,224.0.0.22,0,2,40,0,1,0,1603745103326;,40;,1;
1603745103,192.168.1.87,5353,224.0.0.251,5353,17,190,0,1,0,1603745103326;,190;,1;
1603745106,192.168.1.87,0,224.0.0.22,0,2,40,0,1,0,1603745106091;,40;,1;
1603745106,192.168.1.74,51697,54.149.94.178,443,6,136,136,2,2,1603745106102;1603745106195;1603745106195;1603745106242;,96;40;96;40;,1;2;2;1;
1603745106,192.168.1.74,51696,3.232.144.130,443,6,153,171,2,2,1603745106196;1603745106262;1603745106262;1603745106303;,113;40;131;40;,1;2;2;1;
1603745106,192.168.1.74,51698,54.149.94.178,443,6,136,136,2,2,1603745106243;1603745106305;1603745106305;1603745106350;,96;40;96;40;,1;2;2;1;
1603745106,192.168.1.68,5353,224.0.0.251,5353,17,155,0,1,0,1603745106398;,155;,1;
1603745106,192.168.1.82,5353,224.0.0.251,5353,17,471,0,1,0,1603745106706;,471;,1;
1603745106,192.168.1.74,52940,140.82.114.25,443,6,41,0,1,0,1603745106968;,41;,1;
1603745107,192.168.1.74,52940,140.82.114.25,443,6,0,52,0,1,1603745107117;,52;,2;
1603745109,192.168.1.68,5353,224.0.0.251,5353,17,202,0,1,0,1603745109469;,202;,1;
1603745111,192.168.1.74,51696,3.232.144.130,443,6,40,40,1,1,1603745111110;1603745111110;,40;40;,2;1;
1603745111,192.168.1.74,57987,162.254.195.87,27019,17,112,0,1,0,1603745111856;,112;,1;
1603745116,192.168.1.74,51697,54.149.94.178,443,6,136,96,2,1,1603745116102;1603745116198;1603745116243;,96;96;40;,1;2;1;
1603745116,192.168.1.74,51696,3.232.144.130,443,6,153,131,2,1,1603745116196;1603745116261;1603745116304;,113;131;40;,1;2;1;
1603745116,192.168.1.74,51698,54.149.94.178,443,6,136,96,2,1,1603745116243;1603745116306;1603745116350;,96;96;40;,1;2;1;
1603745116,192.168.1.68,5353,224.0.0.251,5353,17,202,0,1,0,1603745116534;,202;,1;
1603745117,192.168.1.74,53070,18.211.21.156,443,6,819,5750,7,13,1603745117022;1603745117152;1603745117152;1603745117152;1603745117253;1603745117253;1603745117253;1603745117253;1603745117253;1603745117253;1603745117253;1603745117253;1603745117253;1603745117258;1603745117355;1603745117355;1603745117355;1603745117355;1603745117360;1603745117562;,52;52;40;167;40;140;1500;1500;1500;255;376;49;40;174;40;159;99;40;306;40;,1;2;1;1;2;2;2;2;2;2;2;2;1;1;2;2;2;1;1;2;
1603745119,192.168.1.74,51697,54.149.94.178,443,6,98,40,1,1,1603745119091;1603745119199;,98;40;,1;2;
1603745119,192.168.1.74,51698,54.149.94.178,443,6,98,40,1,1,1603745119093;1603745119199;,98;40;,1;2;
1603745120,192.168.1.74,57987,162.254.195.87,27019,17,112,0,1,0,1603745120869;,112;,1;
1603745121,192.168.1.74,57987,162.254.195.87,27019,17,0,64,0,1,1603745121261;,64;,2;
1603745121,192.168.1.74,52940,140.82.114.25,443,6,70,106,1,2,1603745121779;1603745121779;1603745121844;,66;70;40;,2;1;2;
1603745122,192.168.1.74,53070,18.211.21.156,443,6,0,157,0,3,1603745122376;1603745122376;1603745122376;,77;40;40;,2;2;2;
1603745125,192.168.1.67,5353,224.0.0.251,5353,17,105,0,1,0,1603745125752;,105;,1;
1603745126,192.168.1.74,51697,54.149.94.178,443,6,136,136,2,2,1603745126102;1603745126212;1603745126212;1603745126256;,96;40;96;40;,1;2;2;1;
1603745126,192.168.1.74,51696,3.232.144.130,443,6,153,131,2,1,1603745126209;1603745126368;1603745126412;,113;131;40;,1;2;1;
1603745126,192.168.1.74,51698,54.149.94.178,443,6,136,136,2,2,1603745126241;1603745126368;1603745126368;1603745126412;,96;40;96;40;,1;2;2;1;
1603745128,192.168.1.105,5353,224.0.0.251,5353,17,237,0,1,0,1603745128822;,237;,1;
1603745129,192.168.1.74,57987,162.254.195.87,27019,17,112,0,1,0,1603745129887;,112;,1;
1603745130,192.168.1.105,5353,224.0.0.251,5353,17,237,0,1,0,1603745130052;,237;,1;
1603745131,192.168.1.74,51696,3.232.144.130,443,6,40,40,1,1,1603745131587;1603745131587;,40;40;,2;1;
1603745132,192.168.1.74,63452,239.255.255.250,1900,17,202,0,1,0,1603745132495;,202;,1;
1603745132,192.168.1.105,60000,192.168.1.74,63452,17,390,0,1,0,1603745132919;,390;,1;
1603745132,192.168.1.74,63452,192.168.49.1,60000,17,0,390,0,1,1603745132919;,390;,2;
1603745133,192.168.1.74,63452,239.255.255.250,1900,17,202,0,1,0,1603745133497;,202;,1;
1603745134,192.168.1.105,60000,192.168.1.74,63452,17,390,0,1,0,1603745134115;,390;,1;
1603745134,192.168.1.74,63452,192.168.49.1,60000,17,0,390,0,1,1603745134115;,390;,2;
1603745134,192.168.1.74,63452,239.255.255.250,1900,17,202,0,1,0,1603745134506;,202;,1;
1603745135,192.168.1.74,63452,239.255.255.250,1900,17,202,0,1,0,1603745135521;,202;,1;
1603745135,192.168.1.105,60000,192.168.1.74,63452,17,390,0,1,0,1603745135560;,390;,1;
1603745135,192.168.1.74,63452,192.168.49.1,60000,17,0,390,0,1,1603745135560;,390;,2;
1603745136,192.168.1.74,51697,54.149.94.178,443,6,136,96,2,1,1603745136109;1603745136196;1603745136247;,96;96;40;,1;2;1;
1603745136,192.168.1.74,51696,3.232.144.130,443,6,153,131,2,1,1603745136201;1603745136300;1603745136340;,113;131;40;,1;2;1;
1603745136,192.168.1.74,51698,54.149.94.178,443,6,136,96,2,1,1603745136232;1603745136300;1603745136340;,96;96;40;,1;2;1;
1603745136,192.168.1.105,60000,192.168.1.74,63452,17,390,0,1,0,1603745136503;,390;,1;
1603745136,192.168.1.74,63452,192.168.49.1,60000,17,0,390,0,1,1603745136503;,390;,2;
1603745138,192.168.1.74,57987,162.254.195.87,27019,17,112,0,1,0,1603745138895;,112;,1;
1603745139,192.168.1.74,51697,54.149.94.178,443,6,98,40,1,1,1603745139104;1603745139268;,98;40;,1;2;
1603745139,192.168.1.74,51698,54.149.94.178,443,6,98,40,1,1,1603745139106;1603745139268;,98;40;,1;2;
1603745139,192.168.1.71,60904,239.255.255.250,1900,17,202,0,1,0,1603745139472;,202;,1;
1603745140,192.168.1.71,60904,239.255.255.250,1900,17,202,0,1,0,1603745140393;,202;,1;
1603745141,192.168.1.71,60904,239.255.255.250,1900,17,202,0,1,0,1603745141422;,202;,1;
1603745142,192.168.1.71,60904,239.255.255.250,1900,17,202,0,1,0,1603745142443;,202;,1;
1603745145,192.168.1.67,5353,224.0.0.251,5353,17,105,0,1,0,1603745145719;,105;,1;
1603745146,192.168.1.74,51697,54.149.94.178,443,6,136,136,2,2,1603745146101;1603745146212;1603745146212;1603745146255;,96;40;96;40;,1;2;2;1;
1603745146,192.168.1.74,51696,3.232.144.130,443,6,153,131,2,1,1603745146210;1603745146334;1603745146378;,113;131;40;,1;2;1;
1603745146,192.168.1.74,51698,54.149.94.178,443,6,136,136,2,2,1603745146240;1603745146334;1603745146334;1603745146378;,96;40;96;40;,1;2;2;1;
1603745147,192.168.1.74,51697,54.149.94.178,443,6,40,1109,1,1,1603745147356;1603745147401;,1109;40;,2;1;
1603745147,192.168.1.74,57987,162.254.195.87,27019,17,112,0,1,0,1603745147916;,112;,1;
1603745148,192.168.1.74,57987,162.254.195.87,27019,17,0,64,0,1,1603745148382;,64;,2;
1603745152,192.168.1.74,51696,3.232.144.130,443,6,40,40,1,1,1603745152169;1603745152169;,40;40;,2;1;
1603745154,192.168.1.73,5353,224.0.0.251,5353,17,73,0,1,0,1603745154629;,73;,1;
1603745154,192.168.1.105,5353,224.0.0.251,5353,17,200,0,1,0,1603745154935;,200;,1;
1603745156,192.168.1.74,51697,54.149.94.178,443,6,136,96,2,1,1603745156105;1603745156199;1603745156243;,96;96;40;,1;2;1;
1603745156,192.168.1.74,51696,3.232.144.130,443,6,153,131,2,1,1603745156197;1603745156263;1603745156304;,113;131;40;,1;2;1;
1603745156,192.168.1.74,51698,54.149.94.178,443,6,136,96,2,1,1603745156243;1603745156306;1603745156350;,96;96;40;,1;2;1;
1603745156,192.168.1.74,57987,162.254.195.87,27019,17,112,0,1,0,1603745156938;,112;,1;
1603745159,192.168.1.74,51697,54.149.94.178,443,6,98,40,1,1,1603745159126;1603745159237;,98;40;,1;2;
1603745159,192.168.1.74,51698,54.149.94.178,443,6,98,40,1,1,1603745159130;1603745159237;,98;40;,1;2;
1603745162,192.168.1.254,0,224.0.0.1,0,2,36,0,1,0,1603745162615;,36;,1;
1603745163,192.168.1.255,138,192.168.1.71,138,17,0,229,0,1,1603745163844;,229;,2;
1603745163,192.168.1.74,0,224.0.0.22,0,2,40,0,1,0,1603745163854;,40;,1;
1603745165,192.168.1.71,0,224.0.0.22,0,2,40,0,1,0,1603745165380;,40;,1;
1603745165,192.168.1.74,0,224.0.0.22,0,2,40,0,1,0,1603745165848;,40;,1;
1603745165,192.168.1.74,57987,162.254.195.87,27019,17,112,0,1,0,1603745165972;,112;,1;
1603745165,192.168.1.67,5353,224.0.0.251,5353,17,105,0,1,0,1603745165993;,105;,1;
1603745166,192.168.1.74,51697,54.149.94.178,443,6,136,136,2,2,1603745166096;1603745166198;1603745166198;1603745166239;,96;40;96;40;,1;2;2;1;
1603745166,192.168.1.74,51696,3.232.144.130,443,6,153,131,2,1,1603745166208;1603745166302;1603745166347;,113;131;40;,1;2;1;
1603745166,192.168.1.74,51698,54.149.94.178,443,6,136,136,2,2,1603745166239;1603745166302;1603745166302;1603745166347;,96;40;96;40;,1;2;2;1;
1603745166,192.168.1.74,52940,140.82.114.25,443,6,41,52,1,1,1603745166844;1603745166971;,41;52;,1;2;
1603745168,192.168.1.74,51697,54.149.94.178,443,6,40,720,1,1,1603745168246;1603745168299;,720;40;,2;1;
1603745171,192.168.1.67,0,224.0.0.22,0,2,48,0,1,0,1603745171524;,48;,1;
